Kommunenavn;Period;År;Måned;Antall
Totals;Totals;Totals;Totals;11 718 336
Skien;2023/02;2023;2;218 953
Skien;2023/03;2023;3;271 869
Skien;2023/04;2023;4;189 750
Skien;2023/05;2023;5;208 777
Skien;2023/06;2023;6;178 951
Skien;2023/07;2023;7;111 491
Skien;2023/08;2023;8;184 145
Skien;2023/09;2023;9;240 663
Tinn;2023/01;2023;1;12 250
Tinn;2023/02;2023;2;9 830
Tinn;2023/03;2023;3;14 609
Tinn;2023/04;2023;4;9 949
Tinn;2023/05;2023;5;10 739
Tinn;2023/06;2023;6;7 777
Tinn;2023/07;2023;7;2 954
Tinn;2023/08;2023;8;7 251
Tinn;2023/09;2023;9;12 839
Tokke;2023/01;2023;1;5 025
Tokke;2023/02;2023;2;3 227
Tokke;2023/03;2023;3;4 612
Tokke;2023/04;2023;4;3 245
Tokke;2023/05;2023;5;3 446
Tokke;2023/06;2023;6;1 844
Tokke;2023/07;2023;7;458
Tokke;2023/08;2023;8;2 158
Tokke;2023/09;2023;9;4 491
Tønsberg;2023/01;2023;1;368 851
Tønsberg;2023/02;2023;2;311 712
Tønsberg;2023/03;2023;3;389 404
Tønsberg;2023/04;2023;4;278 514
Tønsberg;2023/05;2023;5;313 271
Tønsberg;2023/06;2023;6;285 854
Tønsberg;2023/07;2023;7;183 643
Tønsberg;2023/08;2023;8;274 450
Tønsberg;2023/09;2023;9;357 996
Vinje;2023/01;2023;1;6 968
Vinje;2023/02;2023;2;5 296
Vinje;2023/03;2023;3;7 458
Vinje;2023/04;2023;4;4 701
Vinje;2023/05;2023;5;5 422
Vinje;2023/06;2023;6;3 457
Vinje;2023/07;2023;7;680
Vinje;2023/08;2023;8;3 440
Vinje;2023/09;2023;9;6 256
