Linje;Period;År;Måned;Antall
8881;2023/06;2023;6;1 051
8881;2023/08;2023;8;1 077
8881;2023/09;2023;9;2 564
8882;2023/01;2023;1;2 201
8882;2023/02;2023;2;1 586
8882;2023/03;2023;3;2 421
8882;2023/04;2023;4;1 182
8882;2023/05;2023;5;1 588
8882;2023/06;2023;6;916
8882;2023/08;2023;8;849
8882;2023/09;2023;9;2 122
8885;2023/01;2023;1;615
8885;2023/02;2023;2;422
8885;2023/03;2023;3;676
8885;2023/04;2023;4;324
8885;2023/05;2023;5;443
8885;2023/06;2023;6;264
8885;2023/08;2023;8;262
8885;2023/09;2023;9;632
8887;2023/01;2023;1;4 533
8887;2023/02;2023;2;3 314
8887;2023/03;2023;3;4 944
8887;2023/04;2023;4;2 798
8887;2023/05;2023;5;3 476
8887;2023/06;2023;6;1 685
8887;2023/08;2023;8;1 617
8887;2023/09;2023;9;4 330
8888;2023/01;2023;1;1 764
8888;2023/02;2023;2;1 300
8888;2023/03;2023;3;2 095
8888;2023/04;2023;4;1 252
8888;2023/05;2023;5;1 323
8888;2023/06;2023;6;734
8888;2023/08;2023;8;705
8888;2023/09;2023;9;2 092
8890;2023/01;2023;1;554
8890;2023/02;2023;2;398
8890;2023/03;2023;3;609
8890;2023/04;2023;4;360
8890;2023/05;2023;5;443
8890;2023/06;2023;6;260
8890;2023/08;2023;8;186
8890;2023/09;2023;9;415
8892;2023/01;2023;1;1 428
8892;2023/02;2023;2;1 002
8892;2023/03;2023;3;1 610
8892;2023/04;2023;4;855
8892;2023/05;2023;5;1 144
8892;2023/06;2023;6;676
8892;2023/08;2023;8;622
8892;2023/09;2023;9;1 510
8893;2023/01;2023;1;473
8893;2023/02;2023;2;323
8893;2023/03;2023;3;480
8893;2023/04;2023;4;262
8893;2023/05;2023;5;284
8893;2023/06;2023;6;185
8893;2023/08;2023;8;144
8893;2023/09;2023;9;378
8894;2023/01;2023;1;1 212
8894;2023/02;2023;2;771
8894;2023/03;2023;3;1 345
8894;2023/04;2023;4;681
8894;2023/05;2023;5;783
8894;2023/06;2023;6;391
8894;2023/08;2023;8;354
8894;2023/09;2023;9;748
8895;2023/01;2023;1;491
8895;2023/02;2023;2;358
8895;2023/03;2023;3;538
8895;2023/04;2023;4;284
8895;2023/05;2023;5;306
8895;2023/06;2023;6;180
8895;2023/08;2023;8;136
8895;2023/09;2023;9;305
8896;2023/01;2023;1;2 160
8896;2023/02;2023;2;1 489
8896;2023/03;2023;3;2 180
8896;2023/04;2023;4;1 171
8896;2023/05;2023;5;1 364
8896;2023/06;2023;6;761
8896;2023/08;2023;8;776
8896;2023/09;2023;9;1 903
8897;2023/01;2023;1;1 446
8897;2023/02;2023;2;963
8897;2023/03;2023;3;1 459
8897;2023/04;2023;4;812
8897;2023/05;2023;5;991
8897;2023/06;2023;6;460
8897;2023/08;2023;8;448
8897;2023/09;2023;9;1 024
8898;2023/01;2023;1;932
8898;2023/02;2023;2;612
8898;2023/03;2023;3;973
8898;2023/04;2023;4;561
8898;2023/05;2023;5;750
8898;2023/06;2023;6;475
8898;2023/08;2023;8;375
8898;2023/09;2023;9;906
8899;2023/01;2023;1;1 406
8899;2023/02;2023;2;1 036
8899;2023/03;2023;3;1 544
8899;2023/04;2023;4;962
8899;2023/05;2023;5;1 129
8899;2023/06;2023;6;701
8899;2023/08;2023;8;628
8899;2023/09;2023;9;1 480
8901;2023/01;2023;1;837
8901;2023/02;2023;2;1 004
8901;2023/03;2023;3;1 170
8901;2023/04;2023;4;1 459
8901;2023/05;2023;5;1 136
8901;2023/06;2023;6;1 705
8901;2023/07;2023;7;2 076
8901;2023/08;2023;8;1 145
8901;2023/09;2023;9;1 476
8902;2023/01;2023;1;551
8902;2023/02;2023;2;329
8902;2023/03;2023;3;390
8902;2023/04;2023;4;479
8902;2023/05;2023;5;395
8902;2023/06;2023;6;522
8902;2023/07;2023;7;330
8902;2023/08;2023;8;290
8902;2023/09;2023;9;450
8903;2023/01;2023;1;349
8903;2023/02;2023;2;284
8903;2023/03;2023;3;271
8903;2023/04;2023;4;421
8903;2023/05;2023;5;264
8903;2023/06;2023;6;385
8903;2023/07;2023;7;322
8903;2023/08;2023;8;264
8903;2023/09;2023;9;318
Total;;;;4 782 400
