Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;11;9;13;100,0;31;31;0;11;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;6;5;7;100,0;31;31;0;6;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;5;4;6;100,0;31;31;0;5;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;11;9;13;100,0;31;31;0;11;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;14;9;19;100,0;28;28;0;14;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;7;4;10;100,0;28;28;0;7;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;7;5;9;100,0;28;28;0;7;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;14;9;19;100,0;28;28;0;14;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;51;38;64;100,0;31;31;0;51;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;27;20;34;100,0;31;31;0;27;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;24;17;31;100,0;31;31;0;24;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;51;38;64;100,0;31;31;0;51;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;116;99;133;100,0;30;30;0;116;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;62;53;71;100,0;30;30;0;62;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;54;46;62;100,0;30;30;0;54;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;116;99;133;100,0;30;30;0;116;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;130;114;146;100,0;31;31;0;130;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;71;62;80;100,0;31;31;0;71;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;59;51;67;100,0;31;31;0;59;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;130;114;146;100,0;31;31;0;130;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;27;9;45;100,0;30;30;0;27;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;14;4;24;100,0;30;30;0;14;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;13;4;22;100,0;30;30;0;13;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;27;9;45;100,0;30;30;0;27;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;5;4;6;100,0;31;31;0;5;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;2;1;3;100,0;31;31;0;2;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;3;2;4;100,0;31;31;0;3;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;5;4;6;100,0;31;31;0;5;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;38;14;62;96,8;31;30;1;38;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;20;7;33;96,8;31;30;1;20;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;18;8;28;96,8;31;30;1;18;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;38;14;62;96,8;31;30;1;38;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;135;116;154;100,0;30;30;0;135;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;76;64;88;100,0;30;30;0;76;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;59;51;67;100,0;30;30;0;59;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;135;116;154;100,0;30;30;0;135;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-10-01T00:00+02:00;2019-11-01T00:00+01:00;2019;10;74;64;84;100,0;31;31;0;74;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-10-01T00:00+02:00;2019-11-01T00:00+01:00;2019;10;39;34;44;100,0;31;31;0;39;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-10-01T00:00+02:00;2019-11-01T00:00+01:00;2019;10;35;30;40;100,0;31;31;0;35;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-10-01T00:00+02:00;2019-11-01T00:00+01:00;2019;10;74;64;84;100,0;31;31;0;74;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-11-01T00:00+01:00;2019-12-01T00:00+01:00;2019;11;35;28;42;100,0;30;30;0;35;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-11-01T00:00+01:00;2019-12-01T00:00+01:00;2019;11;19;15;23;100,0;30;30;0;19;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-11-01T00:00+01:00;2019-12-01T00:00+01:00;2019;11;16;12;20;100,0;30;30;0;16;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-11-01T00:00+01:00;2019-12-01T00:00+01:00;2019;11;35;28;42;100,0;30;30;0;35;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-12-01T00:00+01:00;2020-01-01T00:00+01:00;2019;12;11;9;13;100,0;31;31;0;11;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-12-01T00:00+01:00;2020-01-01T00:00+01:00;2019;12;6;5;7;100,0;31;31;0;6;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-12-01T00:00+01:00;2020-01-01T00:00+01:00;2019;12;6;5;7;100,0;31;31;0;6;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2019-12-01T00:00+01:00;2020-01-01T00:00+01:00;2019;12;11;9;13;100,0;31;31;0;11;0,0;Totalt;-;-;-;-;-;-;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4103;3840;4366;71,0;31;22;1;1;100,0;1;3311;791;122;175;94;400;385;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4443;4123;4763;71,0;31;22;1;1;100,0;2;3596;846;136;182;59;470;453;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4103;3840;4366;71,0;31;22;1;1;100,0;Totalt i retning Porsgrunn;3311;791;122;175;94;400;385;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;4443;4122;4764;71,0;31;22;1;1;100,0;Totalt i retning Bamble;3596;846;136;182;59;470;453;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;8546;7968;9124;71,0;31;22;1;2;100,0;Totalt;6907;1637;258;357;152;870;838;32
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4435;4169;4701;100,0;28;28;0;1;100,0;1;3644;790;128;171;91;400;386;14
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4722;4428;5016;100,0;28;28;0;1;100,0;2;3893;828;138;178;55;457;441;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4435;4169;4701;100,0;28;28;0;1;100,0;Totalt i retning Porsgrunn;3645;790;128;171;91;400;386;14
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;4722;4428;5016;100,0;28;28;0;1;100,0;Totalt i retning Bamble;3893;828;138;178;55;457;441;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;9157;8601;9713;100,0;28;28;0;2;100,0;Totalt;7538;1618;266;349;146;857;827;30
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;4840;4502;5178;67,7;31;21;10;0;100,0;1;3983;857;151;209;94;403;388;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;5191;4821;5561;67,7;31;21;10;2;100,0;2;4276;913;164;221;61;466;450;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;4841;4503;5179;67,7;31;21;10;1;100,0;Totalt i retning Porsgrunn;3984;857;151;209;94;403;388;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;5190;4820;5560;67,7;31;21;10;1;100,0;Totalt i retning Bamble;4276;913;164;221;61;466;450;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;10031;9350;10712;67,7;31;21;10;2;100,0;Totalt;8260;1769;316;431;155;869;838;31
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;5856;5321;6391;89,9;30;27;3;2;100,0;1;4873;981;206;282;103;390;376;14
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;6325;5845;6805;89,9;30;27;3;7;99,9;2;5265;1052;220;312;77;442;426;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;5856;5321;6391;89,9;30;27;3;2;100,0;Totalt i retning Porsgrunn;4873;981;206;282;103;390;376;14
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;6325;5845;6805;89,9;30;27;3;7;99,9;Totalt i retning Bamble;5265;1052;220;312;77;442;426;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;12181;11369;12993;89,9;30;27;3;9;99,9;Totalt;10138;2034;427;595;180;832;802;30
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6114;5574;6654;100,0;31;31;0;3;100,0;1;5041;1071;224;329;110;407;391;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6745;6138;7352;100,0;31;31;0;8;99,9;2;5580;1157;241;370;85;460;442;18
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6114;5574;6654;100,0;31;31;0;3;100,0;Totalt i retning Porsgrunn;5041;1071;224;329;110;407;391;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;6745;6138;7352;100,0;31;31;0;8;99,9;Totalt i retning Bamble;5580;1157;241;370;85;460;442;18
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;12858;11905;13811;100,0;31;31;0;10;99,9;Totalt;10621;2227;466;699;195;867;833;34
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;7367;6651;8083;100,0;30;30;0;4;99,9;1;6191;1172;280;366;129;397;381;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;7684;7086;8282;100,0;30;30;0;39;99,5;2;6388;1257;291;400;111;454;437;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;7367;6651;8083;100,0;30;30;0;4;99,9;Totalt i retning Porsgrunn;6191;1172;280;366;129;397;381;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;7683;7086;8280;100,0;30;30;0;38;99,5;Totalt i retning Bamble;6388;1257;291;400;111;455;437;18
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;15050;14030;16070;100,0;30;30;0;43;99,7;Totalt;12578;2429;572;766;240;852;818;34
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8210;7140;9280;100,0;31;31;0;6;99,9;1;7076;1128;304;402;116;307;293;14
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8075;7059;9091;100,0;31;31;0;154;98,1;2;6728;1193;312;417;120;345;329;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8210;7141;9279;100,0;31;31;0;6;99,9;Totalt i retning Porsgrunn;7076;1128;304;402;116;307;293;14
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;8074;7057;9091;100,0;31;31;0;153;98,1;Totalt i retning Bamble;6728;1193;312;417;120;345;329;16
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;16284;14257;18311;100,0;31;31;0;159;99,0;Totalt;13803;2321;616;818;236;651;621;30
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;7312;6692;7932;100,0;31;31;0;3;100,0;1;6129;1180;270;386;134;389;374;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;7280;6761;7799;100,0;31;31;0;16;99,8;2;6074;1190;288;363;107;433;414;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;7312;6693;7931;100,0;31;31;0;3;100,0;Totalt i retning Porsgrunn;6129;1180;270;386;134;389;374;15
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;7280;6760;7800;100,0;31;31;0;16;99,8;Totalt i retning Bamble;6073;1190;287;363;107;433;414;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-08-01T00:00+02:00;2019-09-01T00:00+02:00;2019;8;14592;13602;15582;100,0;31;31;0;20;99,9;Totalt;12202;2370;557;749;241;823;789;34
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;5838;5422;6254;100,0;30;30;0;2;100,0;1;4791;1045;210;317;109;410;393;17
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2019-09-01T00:00+02:00;2019-10-01T00:00+02:00;2019;9;6076;5716;6436;100,0;30;30;0;4;99,9;2;4975;1097;227;318;84;467;447;20
