Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05467V521165;Stathelle;FV352 S1D1 m475;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;5324;4899;5749;100,0;31;31;0;0;100,0;1;5070;253;92;102;37;22;22;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;5397;4955;5839;100,0;31;31;0;11;99,8;2;5105;282;97;97;68;19;19;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;5398;4956;5840;100,0;31;31;0;11;99,8;Totalt i retning Stathelle;5106;282;97;97;68;19;19;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;5323;4898;5748;100,0;31;31;0;0;100,0;Totalt i retning Langesud;5069;253;92;102;37;22;22;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-01-01T00:00+01:00;2018-02-01T00:00+01:00;2018;1;10721;9854;11588;100,0;31;31;0;11;99,9;Totalt;10175;535;189;200;105;40;40;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;5297;4904;5690;100,0;28;28;0;1;100,0;1;5035;261;94;102;38;27;27;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;5376;4966;5786;100,0;28;28;0;6;99,9;2;5082;288;101;96;67;24;24;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;5376;4965;5787;100,0;28;28;0;6;99,9;Totalt i retning Stathelle;5082;289;101;96;67;24;24;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;5297;4904;5690;100,0;28;28;0;1;100,0;Totalt i retning Langesud;5035;261;94;102;38;27;27;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-02-01T00:00+01:00;2018-03-01T00:00+01:00;2018;2;10673;9870;11476;100,0;28;28;0;7;99,9;Totalt;10117;550;195;198;105;53;52;1
05467V521165;Stathelle;FV352 S1D1 m475;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;5446;4988;5904;100,0;31;31;0;0;100,0;1;5190;256;87;99;35;36;36;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;5539;5066;6012;100,0;31;31;0;3;99,9;2;5259;277;93;96;59;29;29;0
05467V521165;Stathelle;FV352 S1D1 m475;2018-03-01T00:00+01:00;2018-04-01T00:00+02:00;2018;3;5539;5066;6012;100,0;31;31;0;3;99,9;Totalt i retning Stathelle;5259;277;93;96;59;29;29;0
