Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
62293B521240;Ballestad sykkeltellepunkt;FV3270 S1D100 m3526;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;25;19;31;100;31;31;0;25;0;1;-;-;-;-;-;-;-;-
62293B521240;Ballestad sykkeltellepunkt;FV3270 S1D100 m3526;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;13;10;16;100;31;31;0;13;0;Totalt i retning Porsgrunn;-;-;-;-;-;-;-;-
62293B521240;Ballestad sykkeltellepunkt;FV3270 S1D100 m3526;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;12;9;15;100;31;31;0;12;0;Totalt i retning Skien;-;-;-;-;-;-;-;-
62293B521240;Ballestad sykkeltellepunkt;FV3270 S1D100 m3526;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;25;19;31;100;31;31;0;25;0;Totalt;-;-;-;-;-;-;-;-
61760V521240;Ballestadhøgda;FV3270 S1D1 m3476;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;2268;2075;2461;100;31;31;0;1;100;1;2167;100;31;63;3;3;3;0
61760V521240;Ballestadhøgda;FV3270 S1D1 m3476;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;2316;2121;2511;100;31;31;0;0;100;2;2204;112;32;66;10;3;3;0
61760V521240;Ballestadhøgda;FV3270 S1D1 m3476;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;2316;2121;2511;100;31;31;0;1;100;Totalt i retning Borgestad;2204;112;32;66;10;3;3;0
61760V521240;Ballestadhøgda;FV3270 S1D1 m3476;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;2268;2075;2461;100;31;31;0;0;100;Totalt i retning Skien;2168;100;31;63;3;3;3;0
61760V521240;Ballestadhøgda;FV3270 S1D1 m3476;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;4584;4197;4971;100;31;31;0;1;100;Totalt;4372;212;63;129;13;7;7;0
33966V521377;Bamble kirke;FV363 S1D1 m2611;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;1544;1410;1678;100;31;31;0;0;100;1;1427;116;34;76;2;5;5;0
