Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;13;10;16;100,0;31;31;0;13;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7;6;8;100,0;31;31;0;7;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7;6;8;100,0;31;31;0;7;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;13;10;16;100,0;31;31;0;13;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;19;16;22;99,8;28;28;0;19;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;10;8;12;99,8;28;28;0;10;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;8;6;10;96,4;28;27;1;8;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;19;16;22;100,0;28;28;0;19;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;34;22;46;100,0;31;31;0;34;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;18;12;24;100,0;31;31;0;18;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;16;10;22;100,0;31;31;0;16;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;34;22;46;100,0;31;31;0;34;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;103;90;116;100,0;30;30;0;103;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;55;48;62;100,0;30;30;0;55;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;48;42;54;100,0;30;30;0;48;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;103;90;116;100,0;30;30;0;103;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;99;81;117;100,0;31;31;0;99;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;55;45;65;100,0;31;31;0;55;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;44;36;52;100,0;31;31;0;44;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;99;81;117;100,0;31;31;0;99;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;161;143;179;100,0;30;30;0;161;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;86;76;96;100,0;30;30;0;86;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;75;66;84;100,0;30;30;0;75;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;161;143;179;100,0;30;30;0;161;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;84;76;92;100,0;31;31;0;84;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;45;41;49;100,0;31;31;0;45;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;39;35;43;100,0;31;31;0;39;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-07-01T00:00+02:00;2021-08-01T00:00+02:00;2021;7;84;76;92;100,0;31;31;0;84;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;139;127;151;100,0;31;31;0;139;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;76;69;83;100,0;31;31;0;76;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;63;57;69;100,0;31;31;0;63;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-08-01T00:00+02:00;2021-09-01T00:00+02:00;2021;8;139;127;151;100,0;31;31;0;139;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;128;109;147;100,0;30;30;0;128;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;72;60;84;100,0;30;30;0;72;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;56;48;64;100,0;30;30;0;56;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;128;109;147;100,0;30;30;0;128;0,0;Totalt;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;84;69;99;100,0;31;31;0;84;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;47;37;57;100,0;31;31;0;47;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;37;31;43;100,0;31;31;0;37;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
