Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;5334;-;-;-;-;-;-;-;-;1;4612;722;134;202;54;332;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;5989;-;-;-;-;-;-;-;-;2;5262;727;114;205;62;346;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;5989;-;-;-;-;-;-;-;-;Totalt i retning Bamble;5262;727;114;205;62;346;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;5334;-;-;-;-;-;-;-;-;Totalt i retning Porsgrunn;4612;722;134;202;54;332;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-01-01T00:00+01:00;2015-02-01T00:00+01:00;2015;1;11323;-;-;-;-;-;-;-;-;Totalt;9874;1449;248;407;116;678;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;5354;-;-;-;-;-;-;-;-;1;4553;801;141;224;55;381;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;6263;-;-;-;-;-;-;-;-;2;5446;817;125;227;64;401;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;6263;-;-;-;-;-;-;-;-;Totalt i retning Bamble;5446;817;125;227;64;401;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;5354;-;-;-;-;-;-;-;-;Totalt i retning Porsgrunn;4553;801;141;224;55;381;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-02-01T00:00+01:00;2015-03-01T00:00+01:00;2015;2;11617;-;-;-;-;-;-;-;-;Totalt;9999;1618;266;451;119;782;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-03-01T00:00+01:00;2015-04-01T00:00+02:00;2015;3;5409;-;-;-;-;-;-;-;-;1;4543;866;146;258;56;406;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-03-01T00:00+01:00;2015-04-01T00:00+02:00;2015;3;6554;-;-;-;-;-;-;-;-;2;5653;901;138;267;65;431;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-03-01T00:00+01:00;2015-04-01T00:00+02:00;2015;3;6554;-;-;-;-;-;-;-;-;Totalt i retning Bamble;5653;901;138;267;65;431;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-03-01T00:00+01:00;2015-04-01T00:00+02:00;2015;3;5409;-;-;-;-;-;-;-;-;Totalt i retning Porsgrunn;4543;866;146;258;56;406;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-03-01T00:00+01:00;2015-04-01T00:00+02:00;2015;3;11963;-;-;-;-;-;-;-;-;Totalt;10196;1767;284;525;121;837;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-04-01T00:00+02:00;2015-05-01T00:00+02:00;2015;4;5731;-;-;-;-;-;-;-;-;1;4813;918;150;307;56;405;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-04-01T00:00+02:00;2015-05-01T00:00+02:00;2015;4;6057;-;-;-;-;-;-;-;-;2;5077;980;156;327;65;432;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-04-01T00:00+02:00;2015-05-01T00:00+02:00;2015;4;6057;-;-;-;-;-;-;-;-;Totalt i retning Bamble;5077;980;156;327;65;432;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-04-01T00:00+02:00;2015-05-01T00:00+02:00;2015;4;5731;-;-;-;-;-;-;-;-;Totalt i retning Porsgrunn;4813;918;150;307;56;405;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-04-01T00:00+02:00;2015-05-01T00:00+02:00;2015;4;11788;-;-;-;-;-;-;-;-;Totalt;9890;1898;306;634;121;837;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-05-01T00:00+02:00;2015-06-01T00:00+02:00;2015;5;5901;-;-;-;-;-;-;-;-;1;4809;1092;151;467;58;416;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-05-01T00:00+02:00;2015-06-01T00:00+02:00;2015;5;6080;-;-;-;-;-;-;-;-;2;4844;1236;193;529;67;447;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-05-01T00:00+02:00;2015-06-01T00:00+02:00;2015;5;6080;-;-;-;-;-;-;-;-;Totalt i retning Bamble;4844;1236;193;529;67;447;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-05-01T00:00+02:00;2015-06-01T00:00+02:00;2015;5;5901;-;-;-;-;-;-;-;-;Totalt i retning Porsgrunn;4809;1092;151;467;58;416;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-05-01T00:00+02:00;2015-06-01T00:00+02:00;2015;5;11981;-;-;-;-;-;-;-;-;Totalt;9653;2328;344;996;125;863;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-06-01T00:00+02:00;2015-07-01T00:00+02:00;2015;6;7759;-;-;-;-;-;-;-;-;1;5952;1807;187;1040;65;515;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-06-01T00:00+02:00;2015-07-01T00:00+02:00;2015;6;8344;-;-;-;-;-;-;-;-;2;6147;2197;321;1240;76;560;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-06-01T00:00+02:00;2015-07-01T00:00+02:00;2015;6;8344;-;-;-;-;-;-;-;-;Totalt i retning Bamble;6147;2197;321;1240;76;560;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-06-01T00:00+02:00;2015-07-01T00:00+02:00;2015;6;7759;-;-;-;-;-;-;-;-;Totalt i retning Porsgrunn;5952;1807;187;1040;65;515;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-06-01T00:00+02:00;2015-07-01T00:00+02:00;2015;6;16103;-;-;-;-;-;-;-;-;Totalt;12099;4004;508;2280;141;1075;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-07-01T00:00+02:00;2015-08-01T00:00+02:00;2015;7;10721;-;-;-;-;-;-;-;-;1;8654;2067;183;1397;67;420;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2015-07-01T00:00+02:00;2015-08-01T00:00+02:00;2015;7;11728;-;-;-;-;-;-;-;-;2;9117;2611;375;1708;78;450;-;-
