Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;7511;7100;7922;100,0;31;31;0;1;100,0;Totalt i retning Bamble;6190;1320;252;398;105;566;535;31
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;17808;17019;18597;100,0;31;31;0;3;100,0;Totalt;15139;2666;537;824;211;1094;1035;59
05467V521165;Stathelle;FV352 S1D1 m475;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4998;4589;5407;100,0;31;31;0;1;100,0;1;4714;283;119;103;50;12;12;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5041;4609;5473;100,0;31;31;0;1;100,0;2;4760;280;105;139;23;13;13;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5040;4608;5472;100,0;31;31;0;1;100,0;Totalt i retning Stathelle;4759;280;105;139;23;13;13;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4998;4589;5407;100,0;31;31;0;0;100,0;Totalt i retning Langesud;4715;283;119;103;50;12;12;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;10039;9198;10880;100,0;31;31;0;2;100,0;Totalt;9474;564;224;242;73;25;25;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5330;4974;5686;100,0;28;28;0;0;100,0;1;5040;290;120;105;51;14;14;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5377;5001;5753;100,0;28;28;0;0;100,0;2;5087;290;106;141;28;16;16;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5376;5000;5752;100,0;28;28;0;0;100,0;Totalt i retning Stathelle;5086;290;106;141;28;16;16;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5331;4975;5687;100,0;28;28;0;1;100,0;Totalt i retning Langesud;5040;290;120;105;51;14;14;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;10707;9975;11439;100,0;28;28;0;0;100,0;Totalt;10126;580;226;246;79;30;30;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6144;5808;6480;100,0;31;31;0;1;100,0;1;5758;385;152;142;52;39;39;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6160;5813;6507;100,0;31;31;0;0;100,0;2;5792;368;137;178;29;25;25;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6162;5814;6510;100,0;31;31;0;1;100,0;Totalt i retning Stathelle;5793;368;137;178;29;25;25;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6143;5808;6478;100,0;31;31;0;1;100,0;Totalt i retning Langesud;5757;385;152;142;52;39;39;0
05467V521165;Stathelle;FV352 S1D1 m475;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;12304;11622;12986;100,0;31;31;0;1;100,0;Totalt;11550;754;289;320;81;64;64;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8147;7464;8830;100,0;31;31;0;0;100,0;1;7602;544;163;292;25;64;64;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8530;7850;9210;100,0;31;31;0;14;99,8;2;7908;609;207;256;71;75;74;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8530;7850;9210;100,0;31;31;0;13;99,8;Totalt i retning PORSGRUNN;7908;609;207;256;71;75;74;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8147;7464;8830;100,0;31;31;0;1;100,0;Totalt i retning SKIEN;7602;544;163;292;25;64;64;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;16677;15315;18039;100,0;31;31;0;14;99,9;Totalt;15510;1153;370;547;96;140;139;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;8634;7992;9276;100,0;28;28;0;0;100,0;1;8070;563;169;303;24;67;67;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;9007;8391;9623;100,0;28;28;0;12;99,9;2;8364;631;213;266;73;79;78;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;9009;8393;9625;100,0;28;28;0;13;99,9;Totalt i retning PORSGRUNN;8366;631;213;266;73;79;78;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;8633;7991;9275;100,0;28;28;0;0;100,0;Totalt i retning SKIEN;8069;563;169;303;24;67;67;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;17642;16385;18899;100,0;28;28;0;13;99,9;Totalt;16435;1194;382;569;97;146;145;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;9325;8735;9915;100,0;31;31;0;1;100,0;1;8688;636;181;343;32;79;79;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;9714;9136;10292;100,0;31;31;0;26;99,7;2;8978;710;232;302;84;93;92;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;9715;9137;10293;100,0;31;31;0;26;99,7;Totalt i retning PORSGRUNN;8979;710;232;302;84;93;92;1
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;9324;8734;9914;100,0;31;31;0;1;100,0;Totalt i retning SKIEN;8687;636;181;343;32;79;79;0
06938V521177;Kjørbekk;RV36 S2D1 m3559;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;19039;17871;20207;100,0;31;31;0;27;99,9;Totalt;17666;1346;413;645;116;172;171;1
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;17;14;20;100,0;31;31;0;17;0,0;1;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8;6;10;100,0;31;31;0;8;0,0;Totalt i retning Tollnes;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;8;6;10;100,0;31;31;0;8;0,0;Totalt i retning Vestsida;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;17;14;20;100,0;31;31;0;17;0,0;Totalt;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;20;16;24;100,0;28;28;0;20;0,0;1;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;8;6;10;100,0;28;28;0;8;0,0;Totalt i retning Tollnes;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;12;9;15;100,0;28;28;0;12;0,0;Totalt i retning Vestsida;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;20;16;24;100,0;28;28;0;20;0,0;Totalt;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;52;44;60;100,0;31;31;0;52;0,0;1;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;23;20;26;100,0;31;31;0;23;0,0;Totalt i retning Tollnes;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;30;24;36;100,0;31;31;0;30;0,0;Totalt i retning Vestsida;-;-;-;-;-;-;-;-
09195B2123909;Bjørndalen;KV3955 S1D20 m337;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;52;44;60;100,0;31;31;0;52;0,0;Totalt;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;20;16;24;100,0;31;31;0;20;0,0;1;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;10;8;12;100,0;31;31;0;10;0,0;Totalt i retning Brevik;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;10;8;12;100,0;31;31;0;10;0,0;Totalt i retning Heistad;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;20;16;24;100,0;31;31;0;20;0,0;Totalt;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;25;20;30;100,0;28;28;0;25;0,0;1;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;13;10;16;100,0;28;28;0;13;0,0;Totalt i retning Brevik;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;12;10;14;100,0;28;28;0;12;0,0;Totalt i retning Heistad;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;25;20;30;100,0;28;28;0;25;0,0;Totalt;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;33;29;37;96,8;31;30;1;33;0,0;1;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;31;28;34;74,2;31;23;1;31;0,0;2;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;29;26;32;96,8;31;30;1;29;0,0;Totalt i retning Brevik;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;27;24;30;96,8;31;30;1;27;0,0;Totalt i retning Heistad;-;-;-;-;-;-;-;-
09211B1846343;Ørviksletta sykkeltellepunkt;RV354 S1D130 m2066;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;57;51;63;96,8;31;30;1;57;0,0;Totalt;-;-;-;-;-;-;-;-
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4998;4632;5364;100,0;31;31;0;0;100,0;1;4732;266;81;129;52;5;5;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4923;4547;5299;100,0;31;31;0;1;100,0;2;4636;286;96;127;59;5;5;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4923;4547;5299;100,0;31;31;0;1;100,0;Totalt i retning Myren;4636;286;96;127;59;5;5;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4998;4632;5364;100,0;31;31;0;0;100,0;Totalt i retning Kryss Gulsetringen;4732;266;81;129;51;5;5;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;9921;9180;10662;100,0;31;31;0;1;100,0;Totalt;9368;552;177;255;110;9;9;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5193;4852;5534;100,0;28;28;0;1;100,0;1;4920;272;83;131;54;4;4;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5131;4780;5482;100,0;28;28;0;9;99,8;2;4829;293;98;129;61;5;5;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5132;4781;5483;100,0;28;28;0;9;99,8;Totalt i retning Myren;4829;293;98;129;61;5;5;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5192;4851;5533;100,0;28;28;0;1;100,0;Totalt i retning Kryss Gulsetringen;4920;271;83;131;54;4;4;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;10324;9633;11015;100,0;28;28;0;10;99,9;Totalt;9749;565;181;260;115;9;9;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5642;5341;5943;100,0;31;31;0;1;100,0;1;5331;309;91;158;55;6;6;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5564;5247;5881;100,0;31;31;0;6;99,9;2;5224;334;110;155;63;6;6;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5564;5247;5881;100,0;31;31;0;6;99,9;Totalt i retning Myren;5224;334;110;155;63;6;6;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5641;5340;5942;100,0;31;31;0;0;100,0;Totalt i retning Kryss Gulsetringen;5331;309;91;158;55;6;6;0
12634V521208;Vadrette øst;FV357 S1D1 m2121;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;11206;10589;11823;100,0;31;31;0;7;99,9;Totalt;10555;644;200;313;119;12;12;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;3402;2932;3872;63,6;31;20;11;0;100,0;1;3218;184;66;91;9;17;17;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;3525;3065;3985;63,6;31;20;11;0;100,0;2;3334;190;67;97;6;20;20;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;3526;3066;3986;63,6;31;20;11;1;100,0;Totalt i retning VALLERMYRENE;3335;190;67;97;6;20;20;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;3402;2932;3872;63,6;31;20;11;0;100,0;Totalt i retning PORSGRUNN;3218;184;66;91;9;17;17;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;6927;5999;7855;63,6;31;20;11;0;100,0;Totalt;6553;374;133;188;15;37;37;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;3731;3329;4133;70,2;28;20;8;0;100,0;1;3526;204;79;96;10;20;20;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;3833;3448;4218;70,2;28;20;8;0;100,0;2;3631;202;72;101;7;22;22;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;3833;3448;4218;70,2;28;20;8;0;100,0;Totalt i retning VALLERMYRENE;3631;202;72;101;7;22;22;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;3731;3329;4133;70,2;28;20;8;1;100,0;Totalt i retning PORSGRUNN;3526;204;79;96;10;20;20;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7564;6782;8346;70,2;28;20;8;0;100,0;Totalt;7157;407;150;197;16;42;42;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;3900;3436;4364;44,0;31;14;17;0;100,0;1;3665;234;88;110;11;25;25;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;4082;3589;4575;44,0;31;14;17;1;100,0;2;3849;232;84;115;7;26;26;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;4082;3589;4575;44,0;31;14;17;1;100,0;Totalt i retning VALLERMYRENE;3849;233;84;115;7;26;26;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;3900;3436;4364;44,0;31;14;17;0;100,0;Totalt i retning PORSGRUNN;3665;234;88;110;11;25;25;0
13087V521202;Porsgrunntunnelen;FV356 S1D1 m358;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;7982;7032;8932;44,0;31;14;17;1;100,0;Totalt;7514;467;173;224;18;52;52;0
14213V521376;E18 Nystrand;EV18 S27D1 m2752;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;6293;5865;6721;100,0;31;31;0;0;100,0;1;5214;1078;175;274;92;537;510;27
