Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;4392;4121;4663;99,5;31;31;0;1;100,0;1;3687;704;139;174;47;345;340;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;4812;4485;5139;99,5;31;31;0;0;100,0;2;4099;713;119;178;54;361;357;4
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;4392;4121;4663;99,5;31;31;0;1;100,0;Totalt i retning Porsgrunn;3687;704;139;174;47;345;340;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;4812;4485;5139;99,5;31;31;0;0;100,0;Totalt i retning Bamble;4099;713;119;178;54;361;357;4
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;9204;8614;9794;99,5;31;31;0;1;100,0;Totalt;7786;1417;258;352;101;706;697;9
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;5076;4814;5338;99,8;29;29;0;1;100,0;1;4252;823;164;209;51;400;395;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;5570;5268;5872;99,8;29;29;0;0;100,0;2;4735;835;145;211;63;416;412;4
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;5077;4814;5340;99,8;29;29;0;1;100,0;Totalt i retning Porsgrunn;4253;824;164;209;51;400;395;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;5569;5267;5871;99,8;29;29;0;0;100,0;Totalt i retning Bamble;4734;835;145;211;63;416;412;4
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;10646;10094;11198;99,8;29;29;0;1;100,0;Totalt;8987;1658;309;420;114;816;807;9
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;5474;5127;5821;96,2;31;30;1;1;100,0;1;4630;843;180;236;52;374;369;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;5954;5586;6322;96,2;31;30;1;0;100,0;2;5093;861;161;241;62;396;391;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;5474;5127;5821;96,2;31;30;1;0;100,0;Totalt i retning Porsgrunn;4631;843;180;236;52;374;369;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;5954;5586;6322;96,2;31;30;1;1;100,0;Totalt i retning Bamble;5093;860;161;241;62;396;391;5
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;11428;10790;12066;96,2;31;30;1;1;100,0;Totalt;9724;1703;341;477;115;770;760;10
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2016-04-01T00:00+02:00;2016-05-01T00:00+02:00;2016;4;5804;5441;6167;99,0;30;30;0;2;100,0;1;4777;1026;212;333;63;418;411;7
