Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2017-08-01T00:00+02:00;2017-09-01T00:00+02:00;2017;8;129;114;144;100,0;31;31;0;129;0,0;1;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2017-08-01T00:00+02:00;2017-09-01T00:00+02:00;2017;8;68;59;77;100,0;31;31;0;68;0,0;Totalt i retning Vattenberg;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2017-08-01T00:00+02:00;2017-09-01T00:00+02:00;2017;8;61;54;68;100,0;31;31;0;61;0,0;Totalt i retning Rising;-;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m94;2017-08-01T00:00+02:00;2017-09-01T00:00+02:00;2017;8;129;114;144;100,0;31;31;0;129;0,0;Totalt;-;-;-;-;-;-;-;-
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-01-01T00:00+01:00;2017-02-01T00:00+01:00;2017;1;5271;4991;5551;100,0;31;31;0;1;100,0;1;4411;859;167;218;54;420;410;10
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-01-01T00:00+01:00;2017-02-01T00:00+01:00;2017;1;5416;5093;5739;100,0;31;31;0;1;100,0;2;4580;836;146;213;62;415;405;10
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-01-01T00:00+01:00;2017-02-01T00:00+01:00;2017;1;5271;4991;5551;100,0;31;31;0;1;100,0;Totalt i retning Porsgrunn;4411;859;167;218;54;420;410;10
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-01-01T00:00+01:00;2017-02-01T00:00+01:00;2017;1;5416;5093;5739;100,0;31;31;0;1;100,0;Totalt i retning Bamble;4579;836;146;214;63;415;405;10
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-01-01T00:00+01:00;2017-02-01T00:00+01:00;2017;1;10687;10093;11281;100,0;31;31;0;2;100,0;Totalt;8990;1695;313;431;117;834;815;19
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-02-01T00:00+01:00;2017-03-01T00:00+01:00;2017;2;5131;4810;5452;100,0;28;28;0;1;100,0;1;4259;872;172;209;57;433;425;8
00344V521377;Bambletunnelen syd;EV18 S26D1 m1260;2017-02-01T00:00+01:00;2017-03-01T00:00+01:00;2017;2;5432;5074;5790;100,0;28;28;0;1;100,0;2;4576;855;148;210;62;435;426;9
