Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Volum;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;16,0m - 24,0m;>= 24,0m
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;11;9;13;100;31;31;0;11;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;6;5;7;100;31;31;0;6;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;5;4;6;100;31;31;0;5;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-01-01T00:00+01:00;2019-02-01T00:00+01:00;2019;1;11;9;13;100;31;31;0;11;0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;14;9;19;100;28;28;0;14;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;7;4;10;100;28;28;0;7;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;7;5;9;100;28;28;0;7;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-02-01T00:00+01:00;2019-03-01T00:00+01:00;2019;2;14;9;19;100;28;28;0;14;0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;51;38;64;100;31;31;0;51;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;27;20;34;100;31;31;0;27;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;24;17;31;100;31;31;0;24;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-03-01T00:00+01:00;2019-04-01T00:00+02:00;2019;3;51;38;64;100;31;31;0;51;0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;116;99;133;100;30;30;0;116;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;62;53;71;100;30;30;0;62;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;54;46;62;100;30;30;0;54;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-04-01T00:00+02:00;2019-05-01T00:00+02:00;2019;4;116;99;133;100;30;30;0;116;0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;130;114;146;100;31;31;0;130;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;71;62;80;100;31;31;0;71;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;59;51;67;100;31;31;0;59;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-05-01T00:00+02:00;2019-06-01T00:00+02:00;2019;5;130;114;146;100;31;31;0;130;0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;27;9;45;100;30;30;0;27;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;14;4;24;100;30;30;0;14;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;13;4;22;100;30;30;0;13;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-06-01T00:00+02:00;2019-07-01T00:00+02:00;2019;6;27;9;45;100;30;30;0;27;0;Totalt;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;5;4;6;100;31;31;0;5;0;1;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;2;1;3;100;31;31;0;2;0;Totalt i retning Fv 32 Wattenberg;-;-;-;-;-;-;-
00264B521464;Luksefjellvegen sykkeltellepunkt;FV3280 S1D1 m28;2019-07-01T00:00+02:00;2019-08-01T00:00+02:00;2019;7;3;2;4;100;31;31;0;3;0;Totalt i retning MISSING DIRECTION;-;-;-;-;-;-;-
